"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1031","test_valid_login[chromium]","tests","2026-02-13","passed","2026-02-13","","test_login","",""
"","948","test_invalid_login[chromium]","tests","2026-02-13","passed","2026-02-13","","test_login","",""
"","1437","test_checkout_flow[chromium]","tests","2026-02-13","passed","2026-02-13","","test_checkout","",""
"","1226","test_add_to_cart[chromium]","tests","2026-02-13","passed","2026-02-13","","test_add_to_cart","",""
